iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
AFG,Asia,Afghanistan,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-20,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-25,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-26,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-27,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-28,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-30,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-01-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-10,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-11,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-12,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-13,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-14,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-15,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-16,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-17,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-18,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-19,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-20,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-21,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-22,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-23,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-24,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-25,1,1,0,0,0.026,0.026,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-26,1,0,0,0,0.026,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-27,1,0,0,0,0.026,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-28,1,0,0,0,0.026,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-02-29,1,0,0,0,0.026,0.0,0.0,0.0,,,,,,,,0.0,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-01,1,0,0,0,0.026,0.0,0.0,0.0,,,,,,,,19.44,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-02,1,0,0,0,0.026,0.0,0.0,0.0,,,,,,,,22.22,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-08,4,3,0,0,0.103,0.077,0.0,0.0,,,,,,,,22.22,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-11,7,3,0,0,0.18,0.077,0.0,0.0,,,,,,,,22.22,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-15,10,3,0,0,0.257,0.077,0.0,0.0,,,,,,,,33.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-16,16,6,0,0,0.411,0.154,0.0,0.0,,,,,,,,33.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-17,21,5,0,0,0.539,0.128,0.0,0.0,,,,,,,,33.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-18,22,1,0,0,0.565,0.026,0.0,0.0,,,,,,,,36.11,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-19,22,0,0,0,0.565,0.0,0.0,0.0,,,,,,,,36.11,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-20,22,0,0,0,0.565,0.0,0.0,0.0,,,,,,,,36.11,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-21,24,2,0,0,0.617,0.051,0.0,0.0,,,,,,,,36.11,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-22,24,0,0,0,0.617,0.0,0.0,0.0,,,,,,,,36.11,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-23,34,10,0,0,0.873,0.257,0.0,0.0,,,,,,,,36.11,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-24,40,6,1,1,1.028,0.154,0.026,0.026,,,,,,,,45.37,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-25,42,2,1,0,1.079,0.051,0.026,0.0,,,,,,,,53.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-26,75,33,1,0,1.927,0.848,0.026,0.0,,,,,,,,53.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-27,75,0,1,0,1.927,0.0,0.026,0.0,,,,,,,,53.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-28,91,16,2,1,2.338,0.411,0.051,0.026,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-29,106,15,3,1,2.723,0.385,0.077,0.026,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-30,114,8,4,1,2.928,0.206,0.103,0.026,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-03-31,141,27,4,0,3.622,0.694,0.103,0.0,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-01,166,25,4,0,4.264,0.642,0.103,0.0,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-02,192,26,4,0,4.932,0.668,0.103,0.0,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-03,235,43,4,0,6.037,1.105,0.103,0.0,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-04,235,0,4,0,6.037,0.0,0.103,0.0,,,,,,,,62.04,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-05,270,35,5,1,6.936,0.899,0.128,0.026,,,,,,,,73.15,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-06,299,29,7,2,7.681,0.745,0.18,0.051,,,,,,,,73.15,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-07,337,38,7,0,8.657,0.976,0.18,0.0,,,,,,,,73.15,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-08,367,30,11,4,9.428,0.771,0.283,0.103,,,,,,,,73.15,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-09,423,56,14,3,10.866,1.439,0.36,0.077,,,,,,,,73.15,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-10,484,61,15,1,12.433,1.567,0.385,0.026,,,,,,,,73.15,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-11,521,37,15,0,13.384,0.95,0.385,0.0,,,,,,,,73.15,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-12,555,34,18,3,14.257,0.873,0.462,0.077,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-13,607,52,18,0,15.593,1.336,0.462,0.0,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-14,665,58,21,3,17.083,1.49,0.539,0.077,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-15,714,49,23,2,18.341,1.259,0.591,0.051,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-16,784,70,25,2,20.14,1.798,0.642,0.051,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-17,794,10,29,4,20.396,0.257,0.745,0.103,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-18,845,51,30,1,21.707,1.31,0.771,0.026,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-19,908,63,30,0,23.325,1.618,0.771,0.0,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-20,996,88,33,3,25.585,2.261,0.848,0.077,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-21,1031,35,35,2,26.485,0.899,0.899,0.051,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-22,1092,61,36,1,28.052,1.567,0.925,0.026,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-23,1176,84,40,4,30.209,2.158,1.028,0.103,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-24,1281,105,42,2,32.907,2.697,1.079,0.051,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-25,1351,70,43,1,34.705,1.798,1.105,0.026,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-26,1463,112,47,4,37.582,2.877,1.207,0.103,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-27,1531,68,57,10,39.329,1.747,1.464,0.257,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-28,1703,172,57,0,43.747,4.418,1.464,0.0,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-29,1827,124,60,3,46.932,3.185,1.541,0.077,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-04-30,1949,122,60,0,50.066,3.134,1.541,0.0,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-01,2171,222,64,4,55.769,5.703,1.644,0.103,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-02,2335,164,68,4,59.982,4.213,1.747,0.103,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-03,2469,134,72,4,63.424,3.442,1.85,0.103,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-04,2704,235,85,13,69.461,6.037,2.183,0.334,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-05,2894,190,90,5,74.342,4.881,2.312,0.128,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-06,3224,330,95,5,82.819,8.477,2.44,0.128,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-07,3392,168,104,9,87.134,4.316,2.672,0.231,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-08,3563,171,106,2,91.527,4.393,2.723,0.051,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-09,3778,215,109,3,97.05,5.523,2.8,0.077,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-10,4033,255,115,6,103.601,6.55,2.954,0.154,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-11,4402,369,120,5,113.08,9.479,3.083,0.128,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-12,4687,285,122,2,120.401,7.321,3.134,0.051,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-13,4967,280,127,5,127.593,7.193,3.262,0.128,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-14,5226,259,130,3,134.247,6.653,3.339,0.077,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-15,5339,113,136,6,137.149,2.903,3.494,0.154,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-16,6402,1063,168,32,164.456,27.307,4.316,0.822,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-17,6402,0,168,0,164.456,0.0,4.316,0.0,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-18,6664,262,169,1,171.186,6.73,4.341,0.026,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
AFG,Asia,Afghanistan,2020-05-19,7072,408,173,4,181.667,10.481,4.444,0.103,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
