date,vaccine,total_vaccinations,location
2021-01-03,Moderna,0.0,Iceland
2021-01-04,Moderna,0.0,Iceland
2021-01-05,Moderna,0.0,Iceland
2021-01-06,Moderna,0.0,Iceland
2021-01-07,Moderna,0.0,Iceland
2021-01-08,Moderna,0.0,Iceland
2021-01-09,Moderna,0.0,Iceland
2021-01-10,Moderna,0.0,Iceland
2021-01-11,Moderna,0.0,Iceland
2021-01-12,Moderna,0.0,Iceland
2021-01-13,Moderna,500.0,Iceland
2021-01-14,Moderna,842.0,Iceland
2021-01-15,Moderna,1261.0,Iceland
2021-01-16,Moderna,1261.0,Iceland
2021-01-17,Moderna,1261.0,Iceland
2021-01-18,Moderna,1262.0,Iceland
2021-01-19,Moderna,1262.0,Iceland
2021-01-20,Moderna,1262.0,Iceland
2021-01-21,Moderna,1262.0,Iceland
2021-01-22,Moderna,1262.0,Iceland
2021-01-23,Moderna,1262.0,Iceland
2021-01-24,Moderna,1262.0,Iceland
2021-01-25,Moderna,1262.0,Iceland
2021-01-26,Moderna,1262.0,Iceland
2021-01-27,Moderna,1262.0,Iceland
2021-01-28,Moderna,1262.0,Iceland
2021-01-29,Moderna,1262.0,Iceland
2021-01-30,Moderna,1262.0,Iceland
2021-01-31,Moderna,1262.0,Iceland
2021-02-01,Moderna,1262.0,Iceland
2021-02-02,Moderna,1262.0,Iceland
2021-02-03,Moderna,1262.0,Iceland
2021-02-04,Moderna,1262.0,Iceland
2021-02-05,Moderna,1262.0,Iceland
2021-02-06,Moderna,1262.0,Iceland
2021-02-07,Moderna,1262.0,Iceland
2021-02-08,Moderna,1262.0,Iceland
2021-02-09,Moderna,1262.0,Iceland
2021-02-10,Moderna,1812.0,Iceland
2021-02-11,Moderna,1988.0,Iceland
2021-02-12,Moderna,2196.0,Iceland
2021-02-13,Moderna,2196.0,Iceland
2021-02-14,Moderna,2196.0,Iceland
2021-02-15,Moderna,2383.0,Iceland
2021-02-16,Moderna,2582.0,Iceland
2020-12-29,Oxford/AstraZeneca,0.0,Iceland
2020-12-30,Oxford/AstraZeneca,0.0,Iceland
2020-12-31,Oxford/AstraZeneca,0.0,Iceland
2021-01-01,Oxford/AstraZeneca,0.0,Iceland
2021-01-02,Oxford/AstraZeneca,0.0,Iceland
2021-01-03,Oxford/AstraZeneca,0.0,Iceland
2021-01-04,Oxford/AstraZeneca,0.0,Iceland
2021-01-05,Oxford/AstraZeneca,0.0,Iceland
2021-01-06,Oxford/AstraZeneca,0.0,Iceland
2021-01-07,Oxford/AstraZeneca,0.0,Iceland
2021-01-08,Oxford/AstraZeneca,0.0,Iceland
2021-01-09,Oxford/AstraZeneca,0.0,Iceland
2021-01-10,Oxford/AstraZeneca,0.0,Iceland
2021-01-11,Oxford/AstraZeneca,0.0,Iceland
2021-01-12,Oxford/AstraZeneca,0.0,Iceland
2021-01-13,Oxford/AstraZeneca,0.0,Iceland
2021-01-14,Oxford/AstraZeneca,0.0,Iceland
2021-01-15,Oxford/AstraZeneca,0.0,Iceland
2021-01-16,Oxford/AstraZeneca,0.0,Iceland
2021-01-17,Oxford/AstraZeneca,0.0,Iceland
2021-01-18,Oxford/AstraZeneca,0.0,Iceland
2021-01-19,Oxford/AstraZeneca,0.0,Iceland
2021-01-20,Oxford/AstraZeneca,0.0,Iceland
2021-01-21,Oxford/AstraZeneca,0.0,Iceland
2021-01-22,Oxford/AstraZeneca,0.0,Iceland
2021-01-23,Oxford/AstraZeneca,0.0,Iceland
2021-01-24,Oxford/AstraZeneca,0.0,Iceland
2021-01-25,Oxford/AstraZeneca,0.0,Iceland
2021-01-26,Oxford/AstraZeneca,0.0,Iceland
2021-01-27,Oxford/AstraZeneca,0.0,Iceland
2021-01-28,Oxford/AstraZeneca,0.0,Iceland
2021-01-29,Oxford/AstraZeneca,0.0,Iceland
2021-01-30,Oxford/AstraZeneca,0.0,Iceland
2021-01-31,Oxford/AstraZeneca,0.0,Iceland
2021-02-01,Oxford/AstraZeneca,0.0,Iceland
2021-02-02,Oxford/AstraZeneca,0.0,Iceland
2021-02-03,Oxford/AstraZeneca,0.0,Iceland
2021-02-04,Oxford/AstraZeneca,0.0,Iceland
2021-02-05,Oxford/AstraZeneca,0.0,Iceland
2021-02-06,Oxford/AstraZeneca,0.0,Iceland
2021-02-07,Oxford/AstraZeneca,0.0,Iceland
2021-02-08,Oxford/AstraZeneca,0.0,Iceland
2021-02-09,Oxford/AstraZeneca,0.0,Iceland
2021-02-10,Oxford/AstraZeneca,0.0,Iceland
2021-02-11,Oxford/AstraZeneca,1209.0,Iceland
2021-02-12,Oxford/AstraZeneca,1209.0,Iceland
2021-02-13,Oxford/AstraZeneca,1209.0,Iceland
2021-02-14,Oxford/AstraZeneca,1209.0,Iceland
2021-02-15,Oxford/AstraZeneca,1209.0,Iceland
2021-02-16,Oxford/AstraZeneca,1253.0,Iceland
